relative_sample,template_relative_adc
-180,-0.000000
-179,0.000042
-178,0.062018
-177,0.500913
-176,-0.075191
-175,2.430268
-174,1.723087
-173,-1.036759
-172,-3.728602
-171,0.789065
-170,7.745782
-169,13.957059
-168,-2.240022
-167,-1.883966
-166,-12.756445
-165,6.448993
-164,-13.942335
-163,14.695044
-162,-3.948116
-161,-0.957966
-160,-4.423141
-159,8.813174
-158,-5.824201
-157,-3.912320
-156,-1.129788
-155,6.129926
-154,-1.549165
-153,-21.532833
-152,26.228088
-151,6.767382
-150,10.278656
-149,35.398193
-148,17.241516
-147,-12.774223
-146,-0.570972
-145,33.411579
-144,-22.428696
-143,-3.239263
-142,25.310230
-141,-18.843170
-140,1.029268
-139,-1.257551
-138,-15.665155
-137,6.140365
-136,-26.277948
-135,-15.117002
-134,-5.081004
-133,5.223603
-132,10.648445
-131,-41.975384
-130,6.420326
-129,-5.357414
-128,8.868454
-127,-21.726978
-126,3.619844
-125,3.832026
-124,0.289392
-123,10.366714
-122,-22.589972
-121,1.824749
-120,-52.303993
-119,-15.318507
-118,-15.519573
-117,-0.617586
-116,-39.800533
-115,-45.303795
-114,-59.877850
-113,7.943947
-112,-18.869122
-111,-36.100582
-110,-15.703550
-109,-66.939560
-108,-31.189224
-107,-34.594109
-106,-42.250851
-105,-38.062309
-104,-48.804634
-103,-26.854481
-102,-28.754454
-101,-35.817726
-100,-40.650612
-99,-47.065315
-98,-56.240746
-97,-37.037537
-96,-55.249317
-95,-59.820477
-94,-33.173069
-93,-32.572895
-92,-84.275429
-91,-22.049219
-90,-59.098202
-89,-56.291744
-88,-57.287167
-87,-51.909389
-86,-33.073513
-85,-51.038315
-84,-69.331772
-83,-63.688427
-82,-64.106850
-81,-73.413536
-80,-53.901093
-79,-24.638647
-78,-54.139126
-77,-39.781628
-76,-50.741856
-75,-25.868141
-74,-54.461819
-73,-52.100510
-72,-53.375519
-71,-29.827850
-70,-37.897293
-69,-51.765739
-68,-25.750633
-67,-41.679722
-66,-30.867802
-65,-28.808613
-64,-30.497025
-63,-13.172258
-62,-23.272444
-61,-25.707342
-60,-7.917398
-59,-17.846817
-58,-25.674446
-57,-10.539585
-56,-23.629387
-55,-28.656269
-54,-15.552532
-53,-21.390087
-52,13.911139
-51,4.049229
-50,3.719627
-49,0.144826
-48,9.729720
-47,-9.407273
-46,3.123567
-45,23.881605
-44,32.549446
-43,7.409218
-42,-1.278582
-41,23.849247
-40,14.656595
-39,51.176403
-38,63.663040
-37,46.022110
-36,44.493313
-35,41.339943
-34,52.351482
-33,33.273296
-32,48.799183
-31,65.552650
-30,54.534153
-29,66.430397
-28,69.509262
-27,79.500450
-26,96.352959
-25,76.156219
-24,81.942093
-23,96.496056
-22,100.990730
-21,107.790314
-20,105.931381
-19,102.008461
-18,108.724457
-17,115.377785
-16,91.400452
-15,114.330727
-14,117.383789
-13,119.873047
-12,108.325211
-11,119.893768
-10,127.337013
-9,123.609612
-8,117.706200
-7,140.820969
-6,121.228561
-5,122.010963
-4,149.860870
-3,128.011368
-2,139.945312
-1,142.254608
0,223.994476
1,121.086494
2,108.500633
3,142.862289
4,142.205322
5,147.749268
6,124.191895
7,152.930222
8,127.380180
9,127.362724
10,147.063858
11,112.500313
12,114.003326
13,131.531265
14,110.059189
15,122.428940
16,110.304832
17,94.220421
18,125.743484
19,93.253052
20,112.370338
21,79.386345
22,95.843147
23,109.178940
24,103.349335
25,89.755592
26,60.036018
27,89.780479
28,45.950794
29,45.749180
30,90.321754
31,61.106102
32,100.360626
33,84.496964
34,63.392265
35,35.959255
36,71.246979
37,80.154930
38,41.035912
39,38.757355
40,22.071909
41,31.568899
42,19.036976
43,30.504599
44,28.567041
45,16.879488
46,11.183672
47,15.213225
48,0.341821
49,-30.270184
50,6.917834
51,-2.584502
52,-31.932726
53,-31.208290
54,-14.197556
55,-24.824444
56,-20.304216
57,-19.199547
58,-36.320812
59,-61.504997
60,-59.769855
61,-24.193535
62,-29.120518
63,-41.146286
64,-23.143896
65,-46.246620
66,-58.707306
67,-39.827137
68,-41.834961
69,-52.046844
70,-35.105633
71,-39.182625
72,-41.838585
73,-30.959398
74,-42.001652
